Processing dataset: Dempsters Stream_tax_mass
    "Processing with K …"    "10"    " using strategy: "    "high2low"

    "Experiment "    "1"    " (strategy: "    "high2low"    ") — Running WLNM..."

[sample_neg] Final link counts:
    Train Positive: 772
    Train Negative: 1544
    Test  Positive: 193
    Test  Negative: 386
Encoding 1608 subgraphs (K = 10)...
[WARN] Link (13,5) triggered large expansion: 38 nodes
[WARN] Link (41,110) triggered large expansion: 51 nodes
[WARN] Link (42,110) triggered large expansion: 45 nodes
[WARN] Link (46,110) triggered large expansion: 46 nodes
[WARN] Link (58,110) triggered large expansion: 44 nodes
[WARN] Link (59,110) triggered large expansion: 44 nodes
[WARN] Link (60,110) triggered large expansion: 38 nodes
[WARN] Link (62,110) triggered large expansion: 48 nodes
[WARN] Link (67,110) triggered large expansion: 45 nodes
[WARN] Link (68,110) triggered large expansion: 39 nodes
[WARN] Link (72,110) triggered large expansion: 32 nodes
[WARN] Link (78,110) triggered large expansion: 36 nodes
[WARN] Link (90,110) triggered large expansion: 51 nodes
[WARN] Link (97,110) triggered large expansion: 41 nodes
[WARN] Link (99,110) triggered large expansion: 47 nodes
[WARN] Link (100,110) triggered large expansion: 48 nodes
[WARN] Link (107,110) triggered large expansion: 56 nodes
[WARN] Link (4,78) triggered large expansion: 53 nodes
[WARN] Link (107,2) triggered large expansion: 31 nodes
[WARN] Link (38,35) triggered large expansion: 47 nodes
[WARN] Link (38,42) triggered large expansion: 47 nodes
[WARN] Link (25,38) triggered large expansion: 53 nodes
[WARN] Link (107,68) triggered large expansion: 31 nodes
[WARN] Link (4,38) triggered large expansion: 54 nodes
[WARN] Link (25,46) triggered large expansion: 53 nodes
[WARN] Link (38,4) triggered large expansion: 48 nodes
[WARN] Link (25,2) triggered large expansion: 53 nodes
[WARN] Link (38,91) triggered large expansion: 47 nodes
[WARN] Link (107,3) triggered large expansion: 31 nodes
Progress: 50% – Elapsed: 0.2s
Encoding link 800 of 1608: (24,78)
[WARN] Link (25,64) triggered large expansion: 53 nodes
[WARN] Link (38,100) triggered large expansion: 47 nodes
[WARN] Link (25,30) triggered large expansion: 53 nodes
[WARN] Link (25,99) triggered large expansion: 53 nodes
[WARN] Link (38,90) triggered large expansion: 47 nodes
[WARN] Link (107,45) triggered large expansion: 31 nodes
[WARN] Link (38,2) triggered large expansion: 47 nodes
[WARN] Link (38,27) triggered large expansion: 47 nodes
[WARN] Link (25,67) triggered large expansion: 53 nodes
[WARN] Link (4,81) triggered large expansion: 53 nodes
[WARN] Link (16,28) triggered large expansion: 53 nodes
[WARN] Link (4,16) triggered large expansion: 53 nodes
[WARN] Link (107,90) triggered large expansion: 31 nodes
[WARN] Link (16,31) triggered large expansion: 53 nodes
[WARN] Link (25,27) triggered large expansion: 53 nodes
[WARN] Link (16,91) triggered large expansion: 53 nodes
[WARN] Link (25,100) triggered large expansion: 53 nodes
[WARN] Link (25,31) triggered large expansion: 53 nodes
[WARN] Link (25,36) triggered large expansion: 53 nodes
Progress: 60% – Elapsed: 0.2s
Encoding link 960 of 1608: (25,36)
[WARN] Link (16,64) triggered large expansion: 53 nodes
[WARN] Link (38,41) triggered large expansion: 47 nodes
[WARN] Link (4,30) triggered large expansion: 53 nodes
[WARN] Link (16,1) triggered large expansion: 53 nodes
[WARN] Link (4,79) triggered large expansion: 53 nodes
[WARN] Link (107,36) triggered large expansion: 31 nodes
[WARN] Link (16,27) triggered large expansion: 53 nodes
[WARN] Link (4,67) triggered large expansion: 53 nodes
[WARN] Link (38,62) triggered large expansion: 47 nodes
[WARN] Link (16,41) triggered large expansion: 53 nodes
[WARN] Link (107,24) triggered large expansion: 31 nodes
[WARN] Link (4,27) triggered large expansion: 53 nodes
[WARN] Link (25,59) triggered large expansion: 53 nodes
[WARN] Link (16,45) triggered large expansion: 53 nodes
[WARN] Link (4,58) triggered large expansion: 53 nodes
[WARN] Link (38,60) triggered large expansion: 47 nodes
[WARN] Link (25,3) triggered large expansion: 53 nodes
[WARN] Link (4,62) triggered large expansion: 53 nodes
[WARN] Link (38,28) triggered large expansion: 47 nodes
[WARN] Link (25,4) triggered large expansion: 54 nodes
[WARN] Link (107,64) triggered large expansion: 31 nodes
[WARN] Link (107,99) triggered large expansion: 31 nodes
[WARN] Link (107,28) triggered large expansion: 31 nodes
Progress: 70% – Elapsed: 0.3s
Encoding link 1120 of 1608: (68,46)
[WARN] Link (107,37) triggered large expansion: 31 nodes
[WARN] Link (107,35) triggered large expansion: 31 nodes
[WARN] Link (25,16) triggered large expansion: 54 nodes
[WARN] Link (38,107) triggered large expansion: 47 nodes
[WARN] Link (107,42) triggered large expansion: 31 nodes
[WARN] Link (16,97) triggered large expansion: 53 nodes
[WARN] Link (4,3) triggered large expansion: 53 nodes
[WARN] Link (38,58) triggered large expansion: 47 nodes
[WARN] Link (107,27) triggered large expansion: 31 nodes
[WARN] Link (25,62) triggered large expansion: 53 nodes
[WARN] Link (107,58) triggered large expansion: 31 nodes
[WARN] Link (25,97) triggered large expansion: 53 nodes
[WARN] Link (25,41) triggered large expansion: 53 nodes
[WARN] Link (107,18) triggered large expansion: 31 nodes
Progress: 80% – Elapsed: 0.3s
Encoding link 1280 of 1608: (107,18)
[WARN] Link (16,60) triggered large expansion: 54 nodes
[WARN] Link (107,60) triggered large expansion: 31 nodes
[WARN] Link (16,37) triggered large expansion: 53 nodes
[WARN] Link (16,105) triggered large expansion: 54 nodes
[WARN] Link (107,62) triggered large expansion: 31 nodes
[WARN] Link (4,24) triggered large expansion: 53 nodes
[WARN] Link (4,37) triggered large expansion: 53 nodes
[WARN] Link (16,58) triggered large expansion: 53 nodes
[WARN] Link (4,63) triggered large expansion: 53 nodes
[WARN] Link (38,97) triggered large expansion: 47 nodes
[WARN] Link (4,36) triggered large expansion: 53 nodes
[WARN] Link (25,91) triggered large expansion: 53 nodes
[WARN] Link (38,30) triggered large expansion: 47 nodes
[WARN] Link (25,78) triggered large expansion: 53 nodes
[WARN] Link (107,16) triggered large expansion: 31 nodes
[WARN] Link (25,32) triggered large expansion: 53 nodes
[WARN] Link (16,46) triggered large expansion: 53 nodes
[WARN] Link (25,28) triggered large expansion: 53 nodes
[WARN] Link (38,1) triggered large expansion: 47 nodes
[WARN] Link (16,36) triggered large expansion: 53 nodes
[WARN] Link (4,35) triggered large expansion: 53 nodes
[WARN] Link (4,90) triggered large expansion: 53 nodes
Progress: 90% – Elapsed: 0.3s
Encoding link 1440 of 1608: (31,60)
[WARN] Link (25,105) triggered large expansion: 53 nodes
[WARN] Link (107,78) triggered large expansion: 31 nodes
[WARN] Link (4,107) triggered large expansion: 53 nodes
[WARN] Link (25,37) triggered large expansion: 53 nodes
[WARN] Link (107,38) triggered large expansion: 31 nodes
[WARN] Link (107,41) triggered large expansion: 31 nodes
[WARN] Link (38,59) triggered large expansion: 47 nodes
[WARN] Link (16,99) triggered large expansion: 53 nodes
[WARN] Link (107,105) triggered large expansion: 31 nodes
[WARN] Link (38,37) triggered large expansion: 47 nodes
[WARN] Link (38,99) triggered large expansion: 47 nodes
[WARN] Link (107,30) triggered large expansion: 31 nodes
[WARN] Link (107,63) triggered large expansion: 31 nodes
[WARN] Link (25,90) triggered large expansion: 53 nodes
[WARN] Link (4,41) triggered large expansion: 53 nodes
[WARN] Link (16,107) triggered large expansion: 53 nodes
[WARN] Link (4,100) triggered large expansion: 53 nodes
[WARN] Link (16,30) triggered large expansion: 53 nodes
[WARN] Link (107,91) triggered large expansion: 31 nodes
[WARN] Link (38,79) triggered large expansion: 47 nodes
Progress: 100% – Elapsed: 0.4s
Encoding link 1600 of 1608: (45,60)
[WARN] Link (107,1) triggered large expansion: 31 nodes
Done. Total time: 0.4s
Encoding 186 subgraphs (K = 10)...
[WARN] Link (65,15) triggered large expansion: 33 nodes
[WARN] Link (98,23) triggered large expansion: 64 nodes
[WARN] Link (12,50) triggered large expansion: 37 nodes
[WARN] Link (23,84) triggered large expansion: 62 nodes
[WARN] Link (43,110) triggered large expansion: 34 nodes
Progress: 10% – Elapsed: 0.0s
Encoding link 18 of 186: (43,110)
[WARN] Link (44,110) triggered large expansion: 36 nodes
[WARN] Link (17,24) triggered large expansion: 31 nodes
[WARN] Link (93,44) triggered large expansion: 39 nodes
[WARN] Link (17,78) triggered large expansion: 32 nodes
[WARN] Link (44,97) triggered large expansion: 49 nodes
[WARN] Link (107,55) triggered large expansion: 31 nodes
Progress: 19% – Elapsed: 0.0s
Encoding link 36 of 186: (3,12)
[WARN] Link (17,98) triggered large expansion: 32 nodes
[WARN] Link (12,16) triggered large expansion: 43 nodes
[WARN] Link (17,108) triggered large expansion: 32 nodes
[WARN] Link (38,44) triggered large expansion: 47 nodes
[WARN] Link (4,55) triggered large expansion: 54 nodes
[WARN] Link (43,32) triggered large expansion: 36 nodes
[WARN] Link (17,90) triggered large expansion: 31 nodes
Progress: 29% – Elapsed: 0.0s
Encoding link 54 of 186: (108,41)
[WARN] Link (43,38) triggered large expansion: 37 nodes
[WARN] Link (12,1) triggered large expansion: 43 nodes
[WARN] Link (43,91) triggered large expansion: 36 nodes
[WARN] Link (12,90) triggered large expansion: 43 nodes
[WARN] Link (44,60) triggered large expansion: 49 nodes
Progress: 39% – Elapsed: 0.0s
Encoding link 72 of 186: (44,60)
[WARN] Link (93,91) triggered large expansion: 39 nodes
[WARN] Link (69,38) triggered large expansion: 32 nodes
[WARN] Link (25,44) triggered large expansion: 53 nodes
[WARN] Link (4,43) triggered large expansion: 53 nodes
[WARN] Link (12,108) triggered large expansion: 44 nodes
[WARN] Link (43,46) triggered large expansion: 36 nodes
Progress: 48% – Elapsed: 0.0s
Encoding link 90 of 186: (43,46)
[WARN] Link (43,97) triggered large expansion: 36 nodes
[WARN] Link (12,31) triggered large expansion: 43 nodes
[WARN] Link (98,99) triggered large expansion: 31 nodes
[WARN] Link (16,44) triggered large expansion: 53 nodes
[WARN] Link (69,24) triggered large expansion: 31 nodes
[WARN] Link (43,108) triggered large expansion: 37 nodes
[WARN] Link (44,46) triggered large expansion: 49 nodes
[WARN] Link (98,32) triggered large expansion: 32 nodes
[WARN] Link (93,42) triggered large expansion: 38 nodes
[WARN] Link (98,59) triggered large expansion: 32 nodes
Progress: 58% – Elapsed: 0.0s
Encoding link 108 of 186: (98,59)
[WARN] Link (25,108) triggered large expansion: 54 nodes
[WARN] Link (69,43) triggered large expansion: 32 nodes
[WARN] Link (44,55) triggered large expansion: 50 nodes
[WARN] Link (43,60) triggered large expansion: 37 nodes
[WARN] Link (44,69) triggered large expansion: 49 nodes
Progress: 68% – Elapsed: 0.0s
Encoding link 126 of 186: (55,45)
[WARN] Link (25,12) triggered large expansion: 54 nodes
[WARN] Link (98,67) triggered large expansion: 32 nodes
[WARN] Link (44,93) triggered large expansion: 50 nodes
[WARN] Link (12,64) triggered large expansion: 44 nodes
[WARN] Link (17,62) triggered large expansion: 31 nodes
[WARN] Link (17,58) triggered large expansion: 32 nodes
[WARN] Link (98,43) triggered large expansion: 31 nodes
[WARN] Link (12,86) triggered large expansion: 44 nodes
[WARN] Link (17,68) triggered large expansion: 31 nodes
[WARN] Link (98,46) triggered large expansion: 31 nodes
[WARN] Link (43,79) triggered large expansion: 37 nodes
Progress: 77% – Elapsed: 0.0s
Encoding link 144 of 186: (53,7)
[WARN] Link (44,17) triggered large expansion: 49 nodes
[WARN] Link (12,58) triggered large expansion: 43 nodes
[WARN] Link (69,4) triggered large expansion: 31 nodes
[WARN] Link (93,16) triggered large expansion: 38 nodes
[WARN] Link (12,78) triggered large expansion: 43 nodes
[WARN] Link (25,86) triggered large expansion: 54 nodes
[WARN] Link (98,100) triggered large expansion: 31 nodes
[WARN] Link (43,35) triggered large expansion: 36 nodes
Progress: 87% – Elapsed: 0.0s
Encoding link 162 of 186: (43,35)
[WARN] Link (17,107) triggered large expansion: 31 nodes
[WARN] Link (44,105) triggered large expansion: 50 nodes
[WARN] Link (69,91) triggered large expansion: 31 nodes
[WARN] Link (98,55) triggered large expansion: 32 nodes
[WARN] Link (98,41) triggered large expansion: 31 nodes
Progress: 97% – Elapsed: 0.1s
Encoding link 180 of 186: (26,25)
[WARN] Link (44,91) triggered large expansion: 49 nodes
Done. Total time: 0.1s
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:00 |       44.53% |       0.7313 |          0.1000 |
|       5 |          50 |       00:00:00 |       93.75% |       0.1777 |          0.1000 |
|       9 |         100 |       00:00:00 |       92.97% |       0.2229 |          0.1000 |
|      13 |         150 |       00:00:00 |       92.97% |       0.1543 |          0.0900 |
|      17 |         200 |       00:00:00 |       92.97% |       0.1790 |          0.0900 |
|      21 |         250 |       00:00:00 |       96.09% |       0.1128 |          0.0810 |
|      25 |         300 |       00:00:00 |       90.62% |       0.1760 |          0.0810 |
|      30 |         350 |       00:00:00 |       94.53% |       0.1420 |          0.0810 |
|      34 |         400 |       00:00:00 |       93.75% |       0.1810 |          0.0729 |
|      38 |         450 |       00:00:00 |       92.97% |       0.1289 |          0.0729 |
|      42 |         500 |       00:00:00 |       93.75% |       0.1810 |          0.0656 |
|      46 |         550 |       00:00:00 |       96.88% |       0.0888 |          0.0656 |
|      50 |         600 |       00:00:00 |       92.97% |       0.1601 |          0.0656 |
|      55 |         650 |       00:00:00 |       93.75% |       0.1670 |          0.0590 |
|      59 |         700 |       00:00:00 |       96.09% |       0.1529 |          0.0590 |
|      63 |         750 |       00:00:00 |       93.75% |       0.1337 |          0.0531 |
|      67 |         800 |       00:00:00 |       96.09% |       0.1396 |          0.0531 |
|      71 |         850 |       00:00:00 |       96.09% |       0.1193 |          0.0478 |
|      75 |         900 |       00:00:00 |       93.75% |       0.1560 |          0.0478 |
|      80 |         950 |       00:00:01 |       96.88% |       0.1187 |          0.0478 |
|      84 |        1000 |       00:00:01 |       96.09% |       0.1460 |          0.0430 |
|      88 |        1050 |       00:00:01 |       96.09% |       0.1104 |          0.0430 |
|      92 |        1100 |       00:00:01 |       96.09% |       0.1307 |          0.0387 |
|      96 |        1150 |       00:00:01 |       96.09% |       0.1046 |          0.0387 |
|     100 |        1200 |       00:00:01 |       93.75% |       0.1476 |          0.0387 |
|     105 |        1250 |       00:00:01 |       96.88% |       0.1166 |          0.0349 |
|     109 |        1300 |       00:00:01 |       96.09% |       0.1432 |          0.0349 |
|     113 |        1350 |       00:00:01 |       96.88% |       0.1061 |          0.0314 |
|     117 |        1400 |       00:00:01 |       96.09% |       0.1265 |          0.0314 |
|     121 |        1450 |       00:00:01 |       96.09% |       0.0995 |          0.0282 |
|     125 |        1500 |       00:00:01 |       93.75% |       0.1435 |          0.0282 |
|     130 |        1550 |       00:00:01 |       96.88% |       0.1147 |          0.0282 |
|     134 |        1600 |       00:00:01 |       96.09% |       0.1418 |          0.0254 |
|     138 |        1650 |       00:00:01 |       96.88% |       0.1037 |          0.0254 |
|     142 |        1700 |       00:00:01 |       96.09% |       0.1250 |          0.0229 |
|     146 |        1750 |       00:00:01 |       96.09% |       0.0956 |          0.0229 |
|     150 |        1800 |       00:00:01 |       93.75% |       0.1416 |          0.0229 |
|     155 |        1850 |       00:00:01 |       96.88% |       0.1134 |          0.0206 |
|     159 |        1900 |       00:00:02 |       96.09% |       0.1425 |          0.0206 |
|     163 |        1950 |       00:00:02 |       96.88% |       0.1017 |          0.0185 |
|     167 |        2000 |       00:00:02 |       96.09% |       0.1251 |          0.0185 |
|     171 |        2050 |       00:00:02 |       96.09% |       0.0942 |          0.0167 |
|     175 |        2100 |       00:00:02 |       93.75% |       0.1415 |          0.0167 |
|     180 |        2150 |       00:00:02 |       96.88% |       0.1130 |          0.0167 |
|     184 |        2200 |       00:00:02 |       96.09% |       0.1407 |          0.0150 |
|     188 |        2250 |       00:00:02 |       96.88% |       0.1016 |          0.0150 |
|     192 |        2300 |       00:00:02 |       96.09% |       0.1248 |          0.0135 |
|     196 |        2350 |       00:00:02 |       96.09% |       0.0925 |          0.0135 |
|     200 |        2400 |       00:00:02 |       93.75% |       0.1408 |          0.0135 |
|========================================================================================|
Training finished: Max epochs completed.
Best Threshold: 0.45, Precision: 0.1771, Recall: 0.8947, F1-Score: 0.2957
AUC: 0.7715
    "Processing with K …"    "10"    " using strategy: "    "low2high"

    "Experiment "    "1"    " (strategy: "    "low2high"    ") — Running WLNM..."

[sample_neg] Final link counts:
    Train Positive: 772
    Train Negative: 1544
    Test  Positive: 193
    Test  Negative: 386
Encoding 84 subgraphs (K = 10)...
[WARN] Link (98,65) triggered large expansion: 32 nodes
[WARN] Link (98,86) triggered large expansion: 32 nodes
[WARN] Link (93,98) triggered large expansion: 39 nodes
[WARN] Link (43,93) triggered large expansion: 37 nodes
Progress: 10% – Elapsed: 0.0s
Encoding link 8 of 84: (108,55)
[WARN] Link (44,86) triggered large expansion: 50 nodes
[WARN] Link (69,108) triggered large expansion: 32 nodes
[WARN] Link (12,43) triggered large expansion: 44 nodes
[WARN] Link (12,17) triggered large expansion: 44 nodes
Progress: 19% – Elapsed: 0.0s
Encoding link 16 of 84: (86,17)
[WARN] Link (98,17) triggered large expansion: 32 nodes
[WARN] Link (93,65) triggered large expansion: 39 nodes
Progress: 29% – Elapsed: 0.0s
Encoding link 24 of 84: (74,7)
[WARN] Link (93,17) triggered large expansion: 39 nodes
[WARN] Link (93,86) triggered large expansion: 39 nodes
[WARN] Link (69,44) triggered large expansion: 31 nodes
[WARN] Link (17,55) triggered large expansion: 32 nodes
[WARN] Link (93,26) triggered large expansion: 39 nodes
[WARN] Link (17,44) triggered large expansion: 31 nodes
Progress: 38% – Elapsed: 0.0s
Encoding link 32 of 84: (65,12)
[WARN] Link (69,93) triggered large expansion: 32 nodes
[WARN] Link (93,69) triggered large expansion: 39 nodes
[WARN] Link (12,69) triggered large expansion: 44 nodes
[WARN] Link (69,65) triggered large expansion: 32 nodes
[WARN] Link (98,26) triggered large expansion: 32 nodes
[WARN] Link (44,43) triggered large expansion: 50 nodes
Progress: 48% – Elapsed: 0.0s
Encoding link 40 of 84: (26,12)
[WARN] Link (69,98) triggered large expansion: 32 nodes
[WARN] Link (93,43) triggered large expansion: 39 nodes
[WARN] Link (98,108) triggered large expansion: 32 nodes
[WARN] Link (44,65) triggered large expansion: 50 nodes
Progress: 57% – Elapsed: 0.0s
Encoding link 48 of 84: (53,74)
[WARN] Link (43,44) triggered large expansion: 37 nodes
Progress: 67% – Elapsed: 0.0s
Encoding link 56 of 84: (26,65)
[WARN] Link (98,44) triggered large expansion: 32 nodes
[WARN] Link (43,12) triggered large expansion: 37 nodes
[WARN] Link (69,17) triggered large expansion: 31 nodes
[WARN] Link (98,93) triggered large expansion: 32 nodes
[WARN] Link (43,26) triggered large expansion: 37 nodes
Progress: 76% – Elapsed: 0.0s
Encoding link 64 of 84: (43,26)
[WARN] Link (43,86) triggered large expansion: 37 nodes
[WARN] Link (98,69) triggered large expansion: 32 nodes
[WARN] Link (44,26) triggered large expansion: 50 nodes
[WARN] Link (43,65) triggered large expansion: 37 nodes
[WARN] Link (44,108) triggered large expansion: 50 nodes
[WARN] Link (43,98) triggered large expansion: 36 nodes
Progress: 86% – Elapsed: 0.0s
Encoding link 72 of 84: (43,98)
[WARN] Link (69,26) triggered large expansion: 32 nodes
[WARN] Link (43,69) triggered large expansion: 37 nodes
[WARN] Link (44,98) triggered large expansion: 50 nodes
[WARN] Link (12,98) triggered large expansion: 44 nodes
Progress: 95% – Elapsed: 0.0s
Encoding link 80 of 84: (12,98)
[WARN] Link (98,12) triggered large expansion: 32 nodes
[WARN] Link (12,65) triggered large expansion: 44 nodes
Done. Total time: 0.0s
Encoding 559 subgraphs (K = 10)...
[WARN] Link (83,5) triggered large expansion: 31 nodes
[WARN] Link (1,9) triggered large expansion: 47 nodes
[WARN] Link (18,9) triggered large expansion: 51 nodes
[WARN] Link (24,9) triggered large expansion: 45 nodes
[WARN] Link (30,9) triggered large expansion: 50 nodes
[WARN] Link (34,9) triggered large expansion: 36 nodes
[WARN] Link (36,9) triggered large expansion: 46 nodes
[WARN] Link (81,9) triggered large expansion: 46 nodes
[WARN] Link (97,9) triggered large expansion: 41 nodes
[WARN] Link (41,13) triggered large expansion: 39 nodes
[WARN] Link (99,13) triggered large expansion: 35 nodes
[WARN] Link (100,13) triggered large expansion: 37 nodes
[WARN] Link (107,13) triggered large expansion: 44 nodes
[WARN] Link (107,14) triggered large expansion: 39 nodes
[WARN] Link (2,15) triggered large expansion: 53 nodes
[WARN] Link (37,15) triggered large expansion: 52 nodes
[WARN] Link (58,15) triggered large expansion: 48 nodes
[WARN] Link (65,15) triggered large expansion: 33 nodes
[WARN] Link (2,19) triggered large expansion: 40 nodes
[WARN] Link (24,19) triggered large expansion: 36 nodes
[WARN] Link (46,19) triggered large expansion: 37 nodes
[WARN] Link (30,20) triggered large expansion: 33 nodes
[WARN] Link (100,20) triggered large expansion: 31 nodes
[WARN] Link (36,22) triggered large expansion: 36 nodes
[WARN] Link (98,23) triggered large expansion: 64 nodes
[WARN] Link (107,23) triggered large expansion: 34 nodes
[WARN] Link (2,29) triggered large expansion: 50 nodes
[WARN] Link (3,29) triggered large expansion: 36 nodes
[WARN] Link (42,29) triggered large expansion: 44 nodes
[WARN] Link (18,33) triggered large expansion: 45 nodes
[WARN] Link (41,33) triggered large expansion: 44 nodes
[WARN] Link (99,33) triggered large expansion: 40 nodes
[WARN] Link (18,34) triggered large expansion: 41 nodes
[WARN] Link (31,34) triggered large expansion: 36 nodes
Progress: 10% – Elapsed: 0.0s
Encoding link 55 of 559: (55,40)
[WARN] Link (18,47) triggered large expansion: 45 nodes
[WARN] Link (24,47) triggered large expansion: 38 nodes
[WARN] Link (35,47) triggered large expansion: 36 nodes
[WARN] Link (97,47) triggered large expansion: 33 nodes
[WARN] Link (99,47) triggered large expansion: 40 nodes
[WARN] Link (100,47) triggered large expansion: 42 nodes
[WARN] Link (107,47) triggered large expansion: 49 nodes
[WARN] Link (27,48) triggered large expansion: 32 nodes
[WARN] Link (31,48) triggered large expansion: 42 nodes
[WARN] Link (46,48) triggered large expansion: 41 nodes
[WARN] Link (78,48) triggered large expansion: 31 nodes
[WARN] Link (79,48) triggered large expansion: 32 nodes
[WARN] Link (90,48) triggered large expansion: 46 nodes
[WARN] Link (36,49) triggered large expansion: 31 nodes
[WARN] Link (41,49) triggered large expansion: 36 nodes
[WARN] Link (81,49) triggered large expansion: 31 nodes
[WARN] Link (107,49) triggered large expansion: 41 nodes
[WARN] Link (12,50) triggered large expansion: 37 nodes
[WARN] Link (60,50) triggered large expansion: 43 nodes
[WARN] Link (80,50) triggered large expansion: 43 nodes
[WARN] Link (90,50) triggered large expansion: 56 nodes
[WARN] Link (35,51) triggered large expansion: 34 nodes
[WARN] Link (63,51) triggered large expansion: 31 nodes
[WARN] Link (90,51) triggered large expansion: 42 nodes
[WARN] Link (100,51) triggered large expansion: 40 nodes
[WARN] Link (41,56) triggered large expansion: 37 nodes
[WARN] Link (107,56) triggered large expansion: 42 nodes
[WARN] Link (21,57) triggered large expansion: 44 nodes
[WARN] Link (46,61) triggered large expansion: 32 nodes
[WARN] Link (99,61) triggered large expansion: 33 nodes
[WARN] Link (2,66) triggered large expansion: 47 nodes
[WARN] Link (41,66) triggered large expansion: 49 nodes
[WARN] Link (91,66) triggered large expansion: 35 nodes
[WARN] Link (24,70) triggered large expansion: 33 nodes
[WARN] Link (67,70) triggered large expansion: 32 nodes
[WARN] Link (2,71) triggered large expansion: 44 nodes
[WARN] Link (36,71) triggered large expansion: 41 nodes
[WARN] Link (100,71) triggered large expansion: 44 nodes
[WARN] Link (28,72) triggered large expansion: 50 nodes
[WARN] Link (62,72) triggered large expansion: 45 nodes
[WARN] Link (63,72) triggered large expansion: 38 nodes
Progress: 20% – Elapsed: 0.0s
Encoding link 110 of 559: (63,72)
[WARN] Link (81,72) triggered large expansion: 44 nodes
[WARN] Link (90,72) triggered large expansion: 49 nodes
[WARN] Link (27,73) triggered large expansion: 34 nodes
[WARN] Link (46,73) triggered large expansion: 43 nodes
[WARN] Link (58,73) triggered large expansion: 40 nodes
[WARN] Link (62,73) triggered large expansion: 44 nodes
[WARN] Link (64,73) triggered large expansion: 32 nodes
[WARN] Link (68,73) triggered large expansion: 37 nodes
[WARN] Link (107,73) triggered large expansion: 53 nodes
[WARN] Link (1,75) triggered large expansion: 34 nodes
[WARN] Link (18,75) triggered large expansion: 39 nodes
[WARN] Link (31,75) triggered large expansion: 34 nodes
[WARN] Link (90,75) triggered large expansion: 38 nodes
[WARN] Link (100,75) triggered large expansion: 36 nodes
[WARN] Link (2,80) triggered large expansion: 33 nodes
[WARN] Link (24,82) triggered large expansion: 36 nodes
[WARN] Link (41,83) triggered large expansion: 33 nodes
[WARN] Link (23,84) triggered large expansion: 62 nodes
[WARN] Link (24,85) triggered large expansion: 39 nodes
[WARN] Link (36,85) triggered large expansion: 40 nodes
[WARN] Link (99,85) triggered large expansion: 41 nodes
[WARN] Link (3,88) triggered large expansion: 34 nodes
[WARN] Link (16,88) triggered large expansion: 33 nodes
[WARN] Link (62,88) triggered large expansion: 44 nodes
[WARN] Link (68,88) triggered large expansion: 39 nodes
[WARN] Link (90,88) triggered large expansion: 49 nodes
[WARN] Link (100,88) triggered large expansion: 46 nodes
[WARN] Link (107,88) triggered large expansion: 52 nodes
[WARN] Link (62,89) triggered large expansion: 49 nodes
[WARN] Link (68,89) triggered large expansion: 44 nodes
[WARN] Link (99,89) triggered large expansion: 49 nodes
[WARN] Link (24,94) triggered large expansion: 37 nodes
[WARN] Link (67,94) triggered large expansion: 36 nodes
[WARN] Link (28,96) triggered large expansion: 35 nodes
[WARN] Link (28,101) triggered large expansion: 50 nodes
Progress: 30% – Elapsed: 0.0s
Encoding link 165 of 559: (28,101)
[WARN] Link (36,101) triggered large expansion: 45 nodes
[WARN] Link (45,101) triggered large expansion: 37 nodes
[WARN] Link (58,101) triggered large expansion: 43 nodes
[WARN] Link (63,101) triggered large expansion: 40 nodes
[WARN] Link (97,101) triggered large expansion: 41 nodes
[WARN] Link (105,101) triggered large expansion: 39 nodes
[WARN] Link (46,103) triggered large expansion: 31 nodes
[WARN] Link (99,103) triggered large expansion: 32 nodes
[WARN] Link (18,104) triggered large expansion: 37 nodes
[WARN] Link (28,104) triggered large expansion: 37 nodes
[WARN] Link (16,109) triggered large expansion: 34 nodes
[WARN] Link (18,109) triggered large expansion: 52 nodes
[WARN] Link (27,109) triggered large expansion: 37 nodes
[WARN] Link (79,109) triggered large expansion: 38 nodes
[WARN] Link (107,109) triggered large expansion: 56 nodes
[WARN] Link (18,110) triggered large expansion: 53 nodes
[WARN] Link (28,110) triggered large expansion: 55 nodes
[WARN] Link (30,110) triggered large expansion: 52 nodes
[WARN] Link (32,110) triggered large expansion: 41 nodes
[WARN] Link (43,110) triggered large expansion: 34 nodes
[WARN] Link (44,110) triggered large expansion: 36 nodes
[WARN] Link (63,110) triggered large expansion: 44 nodes
[WARN] Link (79,110) triggered large expansion: 41 nodes
[WARN] Link (81,110) triggered large expansion: 48 nodes
[WARN] Link (91,110) triggered large expansion: 40 nodes
[WARN] Link (17,24) triggered large expansion: 31 nodes
[WARN] Link (16,35) triggered large expansion: 53 nodes
[WARN] Link (17,78) triggered large expansion: 32 nodes
[WARN] Link (4,42) triggered large expansion: 53 nodes
Progress: 39% – Elapsed: 0.1s
Encoding link 220 of 559: (32,58)
[WARN] Link (44,97) triggered large expansion: 49 nodes
[WARN] Link (107,55) triggered large expansion: 31 nodes
[WARN] Link (12,16) triggered large expansion: 43 nodes
[WARN] Link (38,44) triggered large expansion: 47 nodes
