predator_name,predator_tsn,prey_name,prey_tsn,prey_records,total_min_num,total_cpw
COD,164712.0,Calanoid copepod-Adult (Unsexed),85263.0,760,760.0,1.2129600000000007
COD,164712.0,Liocarcinus depurator,98739.0,744,1410.0,4194.503249999957
GUG,167044.0,ui fish,161105.0,742,770.0,3962.310979679592
MAC,172414.0,Euphausiid,95500.0,716,12674.0,1320.6928773079371
WHG,164758.0,Crangon,97106.0,672,825.0,589.7911852214008
MAC,172414.0,Crustacean remains,83677.0,651,917.0,526.1415879999953
COD,164712.0,Temora sp.-Adult (Male),85874.0,637,637.0,0.040131000000000264
COD,164712.0,EH-Beroe,53869.0,635,779.0,279.14166666666375
GUG,167044.0,Sandeel,171671.0,631,784.0,921.0464427161082
COD,164712.0,Crab,98670.0,616,774.0,571.5993090223882
COD,164712.0,EH-Codling,164712.0,615,992.0,65717.8619327765
COD,164712.0,Unidentified copepod-Copepodite 4-5,85257.0,598,598.0,0.038870000000000175
COD,164712.0,Crustacean,83677.0,596,598.0,343.1108719999995
COD,164712.0,NEP,97317.0,551,624.0,5984.387425535997
WHG,164758.0,ui fish,161105.0,550,558.0,3758.602548606715
POK,164727.0,SAN,171671.0,549,671.0,3094.032794076583
COD,164712.0,Pseudocalanus elongatus-Adult (Unsexed),85370.0,545,545.0,0.029429999999999658
COD,164712.0,EH-Sagitta,158784.0,541,1290.0,25.904869083146995
WHG,164758.0,Calanus spp. (copepod),85263.0,533,2062.0,3.2909520000000105
COD,164712.0,Copepod,85258.0,530,8243.0,13.155827999999927
MAC,172414.0,Calanus finmarchicus,85272.0,517,200166.0,319.46493600000036
COD,164712.0,CRU,83677.0,516,556.0,319.0127839999996
COD,164712.0,Corystes cassivelaunus,98660.0,510,1425.0,5173.691917808265
COD,164712.0,Temora sp.-Adult (Female),85874.0,507,507.0,0.03194100000000019
COD,164712.0,PRM,96971.0,503,600.0,296.2229087053412
HAD,164744.0,BWX,64358.0,503,523.0,297.5523801493433
WHG,164758.0,Crustacean,83677.0,496,531.0,304.66868400000095
COD,164712.0,Norway pout,164756.0,496,1518.0,51361.560801533844
COD,164712.0,Crangon crangon,97118.0,496,1627.0,1163.1397070511705
COD,164712.0,EH-Herring,161722.0,496,2406.0,85279.58480422769
WHG,164758.0,euphausiids,95500.0,493,493.0,51.37301471617512
GUG,167044.0,Crab,98670.0,476,709.0,523.5967830708937
HKE,164795.0,C745,164774.0,462,613.0,8302.368654066318
COD,164712.0,ACC,79036.0,461,586.0,2066.2360000000067
DAB,172881.0,Polychaete,64358.0,450,1630.0,927.3621025615057
PLE,172902.0,Amphiura filiformis,157728.0,438,1436.0,1083.6200445170161
COD,164712.0,Aphrodite aculeata,64366.0,434,1643.0,12334.000999999982
DAB,172881.0,Amphiura filiformis,157728.0,430,1999.0,1508.46550765186
COD,164712.0,EH-Shrimp,96106.0,420,463.0,108.53085526315868
WHG,164758.0,Sprat,161789.0,418,734.0,1581.919463562791
SPR,161789.0,Temora (copepod),85874.0,411,411.0,0.02589300000000014
SPR,161789.0,Plaice eggs,172902.0,400,4124.0,375.28400000000056
WHG,164758.0,Temora sp.-Adult (Unsexed),85874.0,399,399.0,0.025137000000000135
SPR,161789.0,Pseudocalanus (copepod),85369.0,395,407.0,0.021977999999999876
DAB,172881.0,Crustacea,83677.0,392,450.0,258.1938000000011
SPR,161789.0,Fish eggs,161105.0,380,2168.0,660.5450698604873
MAC,172414.0,Hyperiid amphipod,95108.0,380,22371.0,1702.8547120259977
HAD,164744.0,Ophiuroid,157382.0,374,2142.0,1180.0488871919697
DAB,172881.0,Paguridae (hermit crab),97774.0,373,436.0,1064.1700519999958
PLE,172902.0,Bivalve spp.,79118.0,370,913.0,685.0574910959987
GUG,167044.0,Crangon,97106.0,370,595.0,425.3645517657336
COD,164712.0,PAN,96966.0,366,500.0,246.8524239211167
WHG,164758.0,FSH,161105.0,366,372.0,2652.683246012581
COD,164712.0,Amphipod,93294.0,363,7493.0,539.4960000000005
SAN,171671.0,Fish eggs,161105.0,361,552.0,168.35853242592069
PLE,172902.0,Bivalve,79118.0,360,396.0,297.1333695774642
PLE,172902.0,Ensis,81021.0,359,1007.0,596.9898800000046
COD,164712.0,Dab,172881.0,356,495.0,28619.73735599693
WHG,164758.0,Crab,98670.0,355,424.0,313.12416928358044
WHG,164758.0,Temora lonicornis,85877.0,349,4669.0,0.29414699999999955
COD,164712.0,Nephrops norvegicus,97317.0,344,2061.0,19765.74116030392
WHG,164758.0,Pseudocalanus elongatus-Adult (Unsexed),85370.0,340,340.0,0.018359999999999967
SPR,161789.0,Gadoid eggs,164701.0,339,29277.0,9075.869999999983
HER,161722.0,Decapod larvae,95599.0,328,162886.0,13301.171179039295
DAB,172881.0,Abra sp,81306.0,328,764.0,23.08273556262895
COD,164712.0,Herring,161722.0,320,3319.0,72105.85163635387
NSSH,161722.0,Calanoid copepod,85263.0,320,4781.0,7.630476000000008
COD,164712.0,Pandalus,96966.0,316,1940.0,957.7874050351226
NSSH,161722.0,Crustacean remains,83677.0,316,419.0,240.40711600000168
DAB,172881.0,Decapod,95599.0,314,332.0,5.325379599999988
WHG,164758.0,Decapod,95599.0,310,716.0,11.484854800000011
COD,164712.0,Whiting,164758.0,310,429.0,11969.05097869596
HAD,164744.0,Brittlestar,157382.0,309,346.0,190.61480621761618
WHG,164758.0,CSH,97118.0,308,421.0,300.9722290644927
COD,164712.0,EH Blue-eyed shrimp,96106.0,308,308.0,72.1976315789474
NSSH,161722.0,Euphausiid,95500.0,306,4494.0,468.29681163183227
COD,164712.0,C648,97973.0,305,924.0,1797.5715254237273
WEL,630409.0,Sandeel,171671.0,305,585.0,170.05547333297255
PLE,172902.0,Nephtys sp.,66014.0,304,305.0,152.46593150293575
COD,164712.0,EH-Worm,64358.0,304,326.0,185.4724205137407
PLE,172902.0,Sandeel,171671.0,301,366.0,693.4515551543745
COD,164712.0,Crangon spp.,97106.0,300,806.0,576.208115501144
PLE,172902.0,Mactra,80942.0,300,303.0,241.53402600000064
COD,164712.0,FSH,161105.0,298,335.0,8491.898054459518
COD,164712.0,Temora sp.-Adult (Unsexed),85874.0,293,293.0,0.018459000000000076
WHG,164758.0,C746,164753.0,284,340.0,3855.737583555978
PLE,172902.0,Broken shell,79118.0,283,283.0,212.3453120970258
WHG,164758.0,fish,161105.0,281,281.0,2443.7864558172737
WHG,164758.0,CLU,161700.0,278,308.0,857.4014119967899
