Foodweb,Nodes,Edges,Connectance,ecosystem.type
"F1P3_tax_mass",47,218,0.100832562,marine
"F1P4_tax_mass",49,295,0.12542517,marine
"F2P1_tax_mass",58,362,0.109497883,marine
"F2P2_tax_mass",45,179,0.09040404,marine
"F2P3_tax_mass",53,266,0.096516691,marine
"F2P4_tax_mass",52,257,0.096907994,marine
"FP1_tax_mass",22,60,0.12987013,marine
"FXAP1_tax_mass",46,380,0.183574879,marine
"FXAP2_tax_mass",45,348,0.175757576,marine
"FXAP3_tax_mass",36,260,0.206349206,marine
"FXAP4_tax_mass",27,139,0.198005698,marine
"FXBP1_tax_mass",31,186,0.2,marine
"FXBP2_tax_mass",45,326,0.164646465,marine
"FXBP3_tax_mass",48,378,0.167553191,marine
"FXBP4_tax_mass",49,424,0.180272109,marine
"GJAP1_tax_mass",31,218,0.234408602,marine
"GJAP2_tax_mass",30,147,0.168965517,marine
"GJAP3_tax_mass",23,87,0.171936759,marine
"GJAP4_tax_mass",25,86,0.143333333,marine
"GJBP1_tax_mass",40,379,0.242948718,marine
"GJBP2_tax_mass",33,244,0.231060606,marine
"GJBP3_tax_mass",27,177,0.252136752,marine
"GJBP4_tax_mass",23,94,0.185770751,marine
"L1P1_tax_mass",60,465,0.131355932,marine
"L1P2_tax_mass",42,294,0.170731707,marine
"L1P3_tax_mass",48,391,0.173315603,marine
"L1P4_tax_mass",44,316,0.167019027,marine
"L2P1_tax_mass",47,320,0.148011101,marine
"L2P2_tax_mass",58,451,0.136418633,marine
"L2P3_tax_mass",27,108,0.153846154,marine
"L2P4_tax_mass",39,260,0.175438596,marine
"L3P1_tax_mass",33,214,0.202651515,marine
"L3P2_tax_mass",23,105,0.207509881,marine
"L3P3_tax_mass",54,464,0.162124389,marine
"L3P4_tax_mass",50,265,0.108163265,marine
"L4P1_tax_mass",57,490,0.153508772,marine
"L4P2_tax_mass",56,460,0.149350649,marine
"L4P3_tax_mass",41,238,0.145121951,marine
"L4P4_tax_mass",43,292,0.161683278,marine
"MBP1_tax_mass",34,215,0.191622103,marine
"MBP2_tax_mass",19,92,0.269005848,marine
"MBP3_tax_mass",37,353,0.265015015,marine
"MBP4_tax_mass",27,162,0.230769231,marine
"PC1P1_tax_mass",22,96,0.207792208,marine
"PC1P2_tax_mass",21,115,0.273809524,marine
"PC1P3_tax_mass",25,120,0.2,marine
"PC1P4_tax_mass",17,82,0.301470588,marine
"PC2P1_tax_mass",19,77,0.225146199,marine
"PC2P2_tax_mass",31,176,0.189247312,marine
"PC2P3_tax_mass",18,61,0.199346405,marine
"PC2P4_tax_mass",17,68,0.25,marine
"PC2P5_tax_mass",12,33,0.25,marine
"PGSBP1_tax_mass",17,44,0.161764706,marine
"PGSBP2_tax_mass",29,94,0.115763547,marine
"PGUBP1_tax_mass",18,48,0.156862745,marine
"PGUBP2_tax_mass",20,51,0.134210526,marine
"PGUBP3_tax_mass",21,68,0.161904762,marine
"PGUBP4_tax_mass",18,54,0.176470588,marine
"PP1I1_tax_mass",27,119,0.16951567,marine
"PP1I2_tax_mass",14,30,0.164835165,marine
"PP1I3_tax_mass",11,24,0.218181818,marine
"PP1I4_tax_mass",18,60,0.196078431,marine
"PP2I1_tax_mass",21,86,0.204761905,marine
"PP2I2_tax_mass",21,69,0.164285714,marine
"PP2I3_tax_mass",23,93,0.183794466,marine
"PP2I4_tax_mass",20,64,0.168421053,marine
"PP2M1_tax_mass",18,47,0.153594771,marine
"PP2M2_tax_mass",19,58,0.169590643,marine
"PP2M3_tax_mass",19,58,0.169590643,marine
"PP2M4_tax_mass",18,49,0.160130719,marine
"RMP1_tax_mass",28,127,0.167989418,marine
"RMP2_tax_mass",20,67,0.176315789,marine
"RMP3_tax_mass",17,40,0.147058824,marine
"RMP4_tax_mass",16,45,0.1875,marine
"RMP5_tax_mass",21,97,0.230952381,marine
"RV1P1_tax_mass",59,445,0.130040912,marine
"RV1P2_tax_mass",50,357,0.145714286,marine
"RV1P3_tax_mass",55,316,0.106397306,marine
"RV1P4_tax_mass",50,323,0.131836735,marine
"RV2P1_tax_mass",53,377,0.136792453,marine
"RV2P2_tax_mass",38,171,0.121621622,marine
"RV2P3_tax_mass",48,320,0.141843972,marine
"RV2P4_tax_mass",41,210,0.12804878,marine
"SF1I1_tax_mass",15,30,0.142857143,marine
"SF1I2_tax_mass",20,58,0.152631579,marine
"SF1I3_tax_mass",27,107,0.152421652,marine
"SF1I4_tax_mass",21,80,0.19047619,marine
"SF1M1_tax_mass",12,28,0.212121212,marine
"SF1M2_tax_mass",10,16,0.177777778,marine
"SF1M3_tax_mass",15,30,0.142857143,marine
"SF1M4_tax_mass",15,31,0.147619048,marine
"SF2I1_tax_mass",16,34,0.141666667,marine
"SF2I2_tax_mass",19,51,0.149122807,marine
"SF2I3_tax_mass",15,31,0.147619048,marine
"SF2I4_tax_mass",14,32,0.175824176,marine
"SF2M1_tax_mass",14,32,0.175824176,marine
"SF2M2_tax_mass",15,30,0.142857143,marine
"SF2M3_tax_mass",20,55,0.144736842,marine
"SF2M4_tax_mass",17,49,0.180147059,marine
"SP1_tax_mass",11,24,0.218181818,marine
"WP1_tax_mass",39,367,0.247638327,marine
"WP2_tax_mass",26,128,0.196923077,marine
"WP3_tax_mass",35,289,0.242857143,marine
"WP4_tax_mass",27,147,0.209401709,marine
"Skipwith Pond_tax_mass",34,364,0.324420677,lakes
