Foodweb,Nodes,Edges,Connectance
AP4,12,24,0.18181818181818182
BP1,28,91,0.12037037037037036
BP2,18,36,0.11764705882352941
BP3,22,49,0.10606060606060606
CGP1,18,27,0.08823529411764706
CGP2,18,34,0.1111111111111111
CGP3,31,103,0.110752688172043
CR1P1,63,518,0.13261648745519714
CR1P2,60,487,0.13757062146892654
CR1P3,42,284,0.16492450638792103
CR1P4,40,250,0.16025641025641027
CR2P1,48,373,0.16533687943262412
CR2P2,55,377,0.12693602693602693
CR2P3,39,233,0.1572199730094467
CR2P4,35,151,0.126890756302521
F1P1,54,244,0.08525506638714186
F1P2,48,257,0.11391843971631206
F1P3,47,218,0.10083256244218317
F1P4,49,295,0.1254251700680272
F2P1,58,362,0.10949788263762855
F2P2,45,179,0.0904040404040404
F2P3,53,266,0.0965166908563135
F2P4,52,257,0.0969079939668175
FP1,22,60,0.12987012987012986
FXAP1,46,380,0.18357487922705315
FXAP2,45,348,0.17575757575757575
FXAP3,36,260,0.20634920634920634
FXAP4,27,139,0.198005698005698
FXBP1,31,186,0.2
FXBP2,45,326,0.16464646464646465
FXBP3,48,378,0.1675531914893617
FXBP4,49,424,0.18027210884353742
GJAP1,31,218,0.23440860215053763
GJAP2,30,147,0.16896551724137931
GJAP3,23,87,0.17193675889328064
GJAP4,25,86,0.14333333333333334
GJBP1,40,379,0.24294871794871795
GJBP2,33,244,0.23106060606060605
GJBP3,27,177,0.25213675213675213
GJBP4,23,94,0.1857707509881423
L1P1,60,465,0.13135593220338984
L1P2,42,294,0.17073170731707318
L1P3,48,391,0.17331560283687944
L1P4,44,316,0.16701902748414377
L2P1,47,320,0.14801110083256244
L2P2,58,451,0.13641863278886873
L2P3,27,108,0.15384615384615385
L2P4,39,260,0.17543859649122806
L3P1,33,214,0.20265151515151514
L3P2,23,105,0.2075098814229249
L3P3,54,464,0.16212438853948288
L3P4,50,265,0.10816326530612246
L4P1,57,490,0.15350877192982457
L4P2,56,460,0.14935064935064934
L4P3,41,238,0.14512195121951219
L4P4,43,292,0.16168327796234774
MBP1,34,215,0.19162210338680927
MBP2,19,92,0.26900584795321636
MBP3,37,353,0.265015015015015
MBP4,27,162,0.23076923076923078
PC1P1,22,96,0.2077922077922078
PC1P2,21,115,0.27380952380952384
PC1P3,25,120,0.2
PC1P4,17,82,0.3014705882352941
PC2P1,19,77,0.22514619883040934
PC2P2,31,176,0.18924731182795698
PC2P3,18,61,0.19934640522875818
PC2P4,17,68,0.25
PC2P5,12,33,0.25
PGSBP1,17,44,0.16176470588235295
PGSBP2,29,94,0.11576354679802955
PGUBP1,18,48,0.1568627450980392
PGUBP2,20,51,0.13421052631578947
PGUBP3,21,68,0.1619047619047619
PGUBP4,18,54,0.17647058823529413
PP1I1,27,119,0.16951566951566951
PP1I2,14,30,0.16483516483516483
PP1I3,11,24,0.21818181818181817
PP1I4,18,60,0.19607843137254902
PP2I1,21,86,0.20476190476190476
PP2I2,21,69,0.16428571428571428
PP2I3,23,93,0.18379446640316205
PP2I4,20,64,0.16842105263157894
PP2M1,18,47,0.15359477124183007
PP2M2,19,58,0.1695906432748538
PP2M3,19,58,0.1695906432748538
PP2M4,18,49,0.16013071895424835
RMP1,28,127,0.167989417989418
RMP2,20,67,0.1763157894736842
RMP3,17,40,0.14705882352941177
RMP4,16,45,0.1875
RMP5,21,97,0.23095238095238096
RV1P1,59,445,0.13004091174751609
RV1P2,50,357,0.1457142857142857
RV1P3,55,316,0.1063973063973064
RV1P4,50,323,0.13183673469387755
RV2P1,53,377,0.13679245283018868
RV2P2,38,171,0.12162162162162163
RV2P3,48,320,0.14184397163120568
RV2P4,41,210,0.12804878048780488
SF1I1,15,30,0.14285714285714285
SF1I2,20,58,0.15263157894736842
SF1I3,27,107,0.15242165242165243
SF1I4,21,80,0.19047619047619047
SF1M1,12,28,0.21212121212121213
SF1M2,10,16,0.17777777777777778
SF1M3,15,30,0.14285714285714285
SF1M4,15,31,0.14761904761904762
SF2I1,16,34,0.14166666666666666
SF2I2,19,51,0.14912280701754385
SF2I3,15,31,0.14761904761904762
SF2I4,14,32,0.17582417582417584
SF2M1,14,32,0.17582417582417584
SF2M2,15,30,0.14285714285714285
SF2M3,20,55,0.14473684210526316
SF2M4,17,49,0.1801470588235294
SP1,11,24,0.21818181818181817
WP1,39,367,0.247638326585695
WP2,26,128,0.19692307692307692
WP3,35,289,0.24285714285714285
WP4,27,147,0.2094017094017094
Skipwith Pond,34,364,0.3244206773618538
