page1,page2,similarity
"""Big Fish Seafood Bistro""","""Ricardo Cuisine""",0.566879153251648
"""Big Fish Seafood Bistro""","""Brooke Williamson""",0.5668686032295227
"""Tom Aikens""","""Mathieu Pacaud""",0.592560887336731
"""Tom Aikens""","""McDonald's""",0.5805451273918152
"""Tom Aikens""","""KFC""",0.5791025757789612
"""Tom Aikens""","""Leslie Gilliams""",0.5790995359420776
"""Tom Aikens""","""Lío""",0.5721286535263062
"""Tom Aikens""","""Chef Michael Ferraro""",0.5713006258010864
"""Tom Aikens""","""McDonald's""",0.5709019899368286
"""Tom Aikens""","""KFC""",0.5679490566253662
"""Tom Aikens""","""Tim Love""",0.5670899748802185
"""Tom Aikens""","""KFC""",0.564464271068573
"""The Habit Burger Grill""","""Ben Sargent & Dr. Klaw""",0.6144283413887024
"""The Habit Burger Grill""","""Domino's Pizza""",0.5903587341308594
"""The Habit Burger Grill""","""Donato De Santis""",0.5791652202606201
"""The Habit Burger Grill""","""Emma Frisch""",0.57505863904953
"""The Habit Burger Grill""","""Francis Mallmann""",0.5721602439880371
"""The Habit Burger Grill""","""Dunkin' Donuts""",0.5699899792671204
"""The Habit Burger Grill""","""Chart House""",0.5694341063499451
"""The Habit Burger Grill""","""John Whaite""",0.5690428018569946
"""The Habit Burger Grill""","""Roblé""",0.5688126087188721
"""The Habit Burger Grill""","""Jumia Food""",0.5687681436538696
"""Chef Sheldon Simeon""","""Kevin Dundon""",0.6070324182510376
"""Chef Sheldon Simeon""","""Chef Sue Zemanick""",0.5916470289230347
"""Chef Sheldon Simeon""","""Chef Marc Murphy""",0.5907522439956665
"""Chef Sheldon Simeon""","""Taco Bell Costa Rica""",0.5787342190742493
"""Chef Sheldon Simeon""","""McDonald's""",0.5750002264976501
"""Chef Sheldon Simeon""","""McDonald's""",0.5717931389808655
"""Chef Sheldon Simeon""","""Xi'an Famous Foods 西安名吃""",0.5693016052246094
"""Chef Sheldon Simeon""","""Michael White""",0.5691499710083008
"""Chef Sheldon Simeon""","""Luna Grill""",0.5686143636703491
"""Chef Sheldon Simeon""","""Melissa King""",0.5665850639343262
"""Ochikeron""","""KFC""",0.5845715999603271
"""Ochikeron""","""Domino's Pizza""",0.5800443887710571
"""Ochikeron""","""Pollo Campero El Salvador""",0.5792880654335022
"""Ochikeron""","""Taste of London""",0.5768263936042786
"""Ochikeron""","""KFC""",0.5764631032943726
"""Ochikeron""","""Ben Ebbrell - Sorted Chef""",0.5750523805618286
"""Ochikeron""","""Chef Rusty Hamlin""",0.5739154815673828
"""Ochikeron""","""Lee Anne Wong""",0.5732225775718689
"""Ochikeron""","""Ernst Knam""",0.5703816413879395
"""Ochikeron""","""Dunkin' Donuts""",0.5700096487998962
"""Taco Bell Cyprus""","""Burger King Nederland""",0.5953456163406372
"""Taco Bell Cyprus""","""Francis Mallmann""",0.5939035415649414
"""Taco Bell Cyprus""","""Jacques Pépin""",0.5923715233802795
"""Taco Bell Cyprus""","""Gaston Acurio""",0.5887988805770874
"""Taco Bell Cyprus""","""Pablo Massey""",0.5793749690055847
"""Taco Bell Cyprus""","""McDonald's""",0.5781649351119995
"""Taco Bell Cyprus""","""KFC""",0.5733688473701477
"""Taco Bell Cyprus""","""Saransh Goila""",0.5669134259223938
"""Taco Bell Cyprus""","""Second Floor Cafe 貳樓餐飲""",0.5656350255012512
"""Taco Bell Cyprus""","""Lee Anne Wong""",0.5634938478469849
"""Christophe Michalak""","""Hubert Keller""",0.6030664443969727
"""Christophe Michalak""","""Chef Marcela Valladolid""",0.5929774045944214
"""Christophe Michalak""","""Dining with Flynn""",0.5928077697753906
"""Christophe Michalak""","""McDonald's""",0.58290696144104
"""Christophe Michalak""","""David Chang""",0.5811072587966919
"""Christophe Michalak""","""Cook with Amber""",0.5797077417373657
"""Christophe Michalak""","""Frantzén""",0.5760008096694946
"""Christophe Michalak""","""Chef G. Garvin""",0.5743257999420166
"""Christophe Michalak""","""Burger King Nederland""",0.5737522840499878
"""Christophe Michalak""","""Cadillac Bar Houston""",0.5709929466247559
"""Peohe's""","""Chick-fil-A""",0.5948379635810852
"""Peohe's""","""McDonald's""",0.5941418409347534
"""Peohe's""","""Big Fish Seafood Bistro""",0.585788905620575
"""Peohe's""","""Amandine Chaignot""",0.5844663381576538
"""Peohe's""","""McDonald's""",0.5830037593841553
"""Peohe's""","""Andy Luotto""",0.5815127491950989
"""Peohe's""","""La Griglia""",0.5795853734016418
"""Peohe's""","""Pierre Sang Boyer Officiel""",0.5756864547729492
"""Peohe's""","""Chef Ben Churchill""",0.570785403251648
"""Peohe's""","""Magnum""",0.5682925581932068
"""Destino Ibiza""","""Dean Sheremet""",0.5983339548110962
"""Destino Ibiza""","""Nando's""",0.597303569316864
"""Destino Ibiza""","""KFC""",0.5966283679008484
"""Destino Ibiza""","""Emmi CAFFÈ LATTE""",0.5876469016075134
"""Destino Ibiza""","""McDonald's""",0.5818211436271667
"""Destino Ibiza""","""Nando's""",0.5803173780441284
"""Destino Ibiza""","""Buddy Valastro""",0.5800230503082275
"""Destino Ibiza""","""Nando's""",0.5790189504623413
"""Destino Ibiza""","""Sonia Peronaci""",0.5773496627807617
"""Destino Ibiza""","""Nando's""",0.5760867595672607
"""KFC""","""Colin Fassnidge""",0.5772702097892761
"""KFC""","""Chili's Qatar""",0.5742866396903992
"""KFC""","""foodpanda / hellofood""",0.5737589597702026
"""KFC""","""Chuck Hughes""",0.571006178855896
"""KFC""","""Jose Garces""",0.5661912560462952
"""KFC""","""Steve Konopelski""",0.5649442076683044
"""KFC""","""Tom Aikens""",0.564464271068573
"""KFC""","""KFC""",0.5582371950149536
"""KFC""","""Five Guys""",0.5579990148544312
"""KFC""","""Chope""",0.5576196908950806
"""Chef Shirley Chung""","""Eduardo Palazuelos""",0.5871902108192444
"""Chef Shirley Chung""","""Tim Love""",0.5831995010375977
"""Chef Shirley Chung""","""Donato De Santis""",0.5805356502532959
"""Chef Shirley Chung""","""Chef Lorena Garcia""",0.5786232948303223
"""Chef Shirley Chung""","""Ernst Knam""",0.577919065952301
"""Chef Shirley Chung""","""Michel Nischan""",0.5755552053451538
"""Chef Shirley Chung""","""Relais & Châteaux""",0.569762110710144
"""Chef Shirley Chung""","""Pedro Lambertini""",0.5639978647232056
"""Chef Shirley Chung""","""Raymond Blanc""",0.5638254284858704
"""Chef Shirley Chung""","""McDonald's""",0.5637804865837097
"""Doug Adams""","""KFC""",0.5977237224578857
"""Doug Adams""","""Roy Choi""",0.5955824851989746
"""Doug Adams""","""Fabio Viviani""",0.5917481184005737
"""Doug Adams""","""Noma""",0.5866317749023438
"""Doug Adams""","""Vicky Ratnani""",0.5846090912818909
"""Doug Adams""","""Kevin Dundon""",0.5839095711708069
"""Doug Adams""","""River Crab Blue Water Inn""",0.5748202204704285
"""Doug Adams""","""Cadillac Bar Kemah""",0.5713461637496948
"""Doug Adams""","""Nicko's Kitchen""",0.5710611343383789
"""Doug Adams""","""Hakim Chajar""",0.5707764625549316
"""משה שגב / Moshe Segev""","""Josh Marks""",0.5862083435058594
"""משה שגב / Moshe Segev""","""RED Sushi and Hibachi Grill""",0.5798484683036804
"""משה שגב / Moshe Segev""","""Five Guys""",0.5750614404678345
"""משה שגב / Moshe Segev""","""Jumia Food""",0.5696344375610352
"""משה שגב / Moshe Segev""","""Dunkin' Donuts""",0.5695471167564392
"""משה שגב / Moshe Segev""","""Domino's Pizza""",0.5681049227714539
"""משה שגב / Moshe Segev""","""タコベル ジャパン　Taco Bell Japan""",0.5675000548362732
"""משה שגב / Moshe Segev""","""Fabio Viviani""",0.5631266236305237
"""משה שגב / Moshe Segev""","""Michael White""",0.562833309173584
"""משה שגב / Moshe Segev""","""Brooke Williamson""",0.5619680881500244
"""Angel Leon Gonzalez""","""McDonald's""",0.606128990650177
"""Angel Leon Gonzalez""","""Bobby Flay""",0.5911890268325806
"""Angel Leon Gonzalez""","""翠華餐廳 Tsui Wah Restaurant""",0.5767335295677185
"""Angel Leon Gonzalez""","""Hari Ghotra""",0.5759376287460327
"""Angel Leon Gonzalez""","""Domino's Mx""",0.5693860650062561
"""Angel Leon Gonzalez""","""Antonino Cannavacciuolo""",0.5693118572235107
"""Angel Leon Gonzalez""","""Pablo Massey""",0.5651463270187378
"""Angel Leon Gonzalez""","""Domino's Pizza""",0.565123438835144
"""Angel Leon Gonzalez""","""ad hoc & addendum""",0.5649528503417969
"""Angel Leon Gonzalez""","""McDonald's""",0.5642411708831787
"""Ben Ebbrell - Sorted Chef""","""Dunkin' Coffee""",0.6162430644035339
"""Ben Ebbrell - Sorted Chef""","""Ochikeron""",0.5750523805618286
"""Ben Ebbrell - Sorted Chef""","""Francesco Sole""",0.5702863335609436
"""Ben Ebbrell - Sorted Chef""","""KFC""",0.5687792897224426
"""Ben Ebbrell - Sorted Chef""","""McDonald's""",0.5669479966163635
"""Ben Ebbrell - Sorted Chef""","""Roblé""",0.5666687488555908
"""Ben Ebbrell - Sorted Chef""","""Domino's Pizza""",0.5636758208274841
"""Ben Ebbrell - Sorted Chef""","""Dani García""",0.5634044408798218
"""Ben Ebbrell - Sorted Chef""","""Jumia Food""",0.5615435838699341
"""Ben Ebbrell - Sorted Chef""","""KFC""",0.5601029992103577
"""Dick's Drive In Restaurant""","""Magnum""",0.5966138243675232
"""Dick's Drive In Restaurant""","""Dunkin' Donuts""",0.5905306935310364
"""Dick's Drive In Restaurant""","""KFC""",0.587729811668396
"""Dick's Drive In Restaurant""","""Wings""",0.5774651765823364
"""Dick's Drive In Restaurant""","""Jean-François Piège     -      Page Officielle""",0.5754104852676392
"""Dick's Drive In Restaurant""","""Magnum""",0.5736624598503113
"""Dick's Drive In Restaurant""","""Taco Bell India""",0.5727503299713135
"""Dick's Drive In Restaurant""","""Pierre Sang Boyer Officiel""",0.5722121000289917
"""Dick's Drive In Restaurant""","""McDonald's""",0.5706690549850464
"""Dick's Drive In Restaurant""","""Yard House""",0.567947506904602
"""John Whaite""","""Matthew Kenney""",0.6249922513961792
"""John Whaite""","""Kevin Dundon""",0.5943425297737122
"""John Whaite""","""McDonald's""",0.5798795223236084
"""John Whaite""","""Ranveer Brar""",0.5755921006202698
"""John Whaite""","""Camille Becerra""",0.5752933025360107
"""John Whaite""","""KFC""",0.5725763440132141
"""John Whaite""","""Rachel Allen""",0.5695408582687378
"""John Whaite""","""The Habit Burger Grill""",0.5690428018569946
"""John Whaite""","""Alessandro Borghese""",0.5686348676681519
"""John Whaite""","""Brooke Williamson""",0.56806880235672
"""Andy Luotto""","""Peohe's""",0.5815127491950989
"""Andy Luotto""","""Gandy Dancer""",0.5778007507324219
"""Andy Luotto""","""Hearth""",0.5733417868614197
"""Andy Luotto""","""Raymond Blanc""",0.572846531867981
"""Andy Luotto""","""Dunkin' Donuts""",0.5683135986328125
"""Andy Luotto""","""Cat Cora""",0.568156898021698
"""Andy Luotto""","""Bonefish Grill""",0.5665880441665649
"""Andy Luotto""","""foodpanda""",0.5619254112243652
"""Andy Luotto""","""McDonald's""",0.5612763166427612
"""Andy Luotto""","""Domino's Pizza""",0.5594660043716431
"""Antonino Cannavacciuolo""","""Pat Neely""",0.6080231070518494
"""Antonino Cannavacciuolo""","""Guy Savoy""",0.5801835656166077
"""Antonino Cannavacciuolo""","""Anne-Sophie Pic""",0.5751563906669617
"""Antonino Cannavacciuolo""","""Alex Guarnaschelli""",0.5748058557510376
"""Antonino Cannavacciuolo""","""ad hoc & addendum""",0.5699149966239929
"""Antonino Cannavacciuolo""","""McDonald's""",0.5693240165710449
"""Antonino Cannavacciuolo""","""Angel Leon Gonzalez""",0.5693118572235107
"""Antonino Cannavacciuolo""","""Domino's Pizza""",0.5678393840789795
"""Antonino Cannavacciuolo""","""Daniel Humm""",0.5653269290924072
"""Antonino Cannavacciuolo""","""Samin Nosrat""",0.5638854503631592
"""Charley's Crab""","""David Chang""",0.5993210077285767
"""Charley's Crab""","""Dunkin' Coffee""",0.5963881611824036
"""Charley's Crab""","""Ogro Jimmy""",0.5868678689002991
"""Charley's Crab""","""Dunkin' Donuts""",0.5860670208930969
"""Charley's Crab""","""McDonald's Deutschland Karriere""",0.5757012963294983
"""Charley's Crab""","""Joanna 劉韋彤""",0.572834312915802
"""Charley's Crab""","""Domino's Pizza Türkiye""",0.5722225308418274
"""Charley's Crab""","""Carrabba's Italian Grill""",0.5702096819877625
"""Charley's Crab""","""Kristen Kish""",0.56810462474823
"""Charley's Crab""","""Vegan Black Metal Chef""",0.5662598013877869
"""Anne-Sophie Pic""","""Sanjeev Kapoor""",0.590550422668457
"""Anne-Sophie Pic""","""Big Fish Seafood Bistro""",0.5869287848472595
"""Anne-Sophie Pic""","""Nando's""",0.5758023262023926
"""Anne-Sophie Pic""","""Antonino Cannavacciuolo""",0.5751563906669617
"""Anne-Sophie Pic""","""McDonald's""",0.5701536536216736
"""Anne-Sophie Pic""","""Krispy Kreme UK""",0.5682262778282166
"""Anne-Sophie Pic""","""McDonald's""",0.5670438408851624
"""Anne-Sophie Pic""","""Buddy Valastro""",0.5647798776626587
"""Anne-Sophie Pic""","""Crystal Jade Singapore""",0.5641905665397644
"""Anne-Sophie Pic""","""McDonald's""",0.5631672739982605
"""Hilah Cooking""","""Outlander Kitchen""",0.6104766726493835
"""Hilah Cooking""","""Chef Jamie DeRosa""",0.5852421522140503
"""Hilah Cooking""","""Chef Rubio""",0.5833298563957214
"""Hilah Cooking""","""Second Floor Cafe 貳樓餐飲""",0.5790150761604309
"""Hilah Cooking""","""Hardee's Pakistan""",0.5774070024490356
"""Hilah Cooking""","""Chuck Hughes""",0.5772619843482971
"""Hilah Cooking""","""Chef Michael Ferraro""",0.5731759667396545
"""Hilah Cooking""","""Big Fish Seafood Bistro""",0.5716904401779175
"""Hilah Cooking""","""McDonald's""",0.5713983774185181
"""Hilah Cooking""","""Chef Sam Talbot""",0.5713133811950684
"""Taco Bell Costa Rica""","""Krispy Kreme UK""",0.6025505661964417
"""Taco Bell Costa Rica""","""Francesco Sole""",0.5869198441505432
"""Taco Bell Costa Rica""","""Emily Ellyn""",0.585114598274231
"""Taco Bell Costa Rica""","""Ranveer Brar""",0.582221269607544
"""Taco Bell Costa Rica""","""KFC""",0.5805215239524841
"""Taco Bell Costa Rica""","""Chef Sheldon Simeon""",0.5787342190742493
"""Taco Bell Costa Rica""","""Thierry Rautureau""",0.5759495496749878
"""Taco Bell Costa Rica""","""Susur Lee""",0.5751199722290039
"""Taco Bell Costa Rica""","""Dan Kluger""",0.5750217437744141
"""Taco Bell Costa Rica""","""Cocina familiar con Javier Romero""",0.5726169347763062
"""Chef Robert Irvine""","""Hardee's Pakistan""",0.5956023931503296
"""Chef Robert Irvine""","""Texas Roadhouse""",0.5882097482681274
"""Chef Robert Irvine""","""Emmi CAFFÈ LATTE""",0.5727216601371765
"""Chef Robert Irvine""","""Simon Bryant""",0.5723072290420532
"""Chef Robert Irvine""","""Big Fish Seafood Bistro""",0.569537878036499
"""Chef Robert Irvine""","""Stephanie Izard""",0.5686441659927368
"""Chef Robert Irvine""","""Alex French Guy Cooking""",0.567448079586029
"""Chef Robert Irvine""","""Jumia Food""",0.5669480562210083
"""Chef Robert Irvine""","""Red Lobster México""",0.5663003921508789
"""Chef Robert Irvine""","""Virginia Willis""",0.5624558925628662
"""Nutella Cafe Chicago""","""Crystal Jade Singapore""",0.5799627900123596
"""Nutella Cafe Chicago""","""Anjali Pathak""",0.5785413384437561
"""Nutella Cafe Chicago""","""UMass Dining""",0.5777578353881836
"""Nutella Cafe Chicago""","""Alfred Portale""",0.5777329206466675
"""Nutella Cafe Chicago""","""Subway, Cayman Islands""",0.5766159892082214
"""Nutella Cafe Chicago""","""Aquarium Restaurant - Nashville""",0.5764132142066956
"""Nutella Cafe Chicago""","""Chick-fil-A""",0.5721619725227356
"""Nutella Cafe Chicago""","""Steve Konopelski""",0.5711802244186401
"""Nutella Cafe Chicago""","""Donato De Santis""",0.5686941146850586
"""Nutella Cafe Chicago""","""Bobby's Burger Palace""",0.5675210952758789
"""Grand Concourse""","""KFC""",0.5983296632766724
"""Grand Concourse""","""Chef Alex Levin""",0.5835433006286621
"""Grand Concourse""","""Jumia Food""",0.5791901350021362
"""Grand Concourse""","""McDonald's""",0.577185869216919
"""Grand Concourse""","""McDonald's""",0.5769621133804321
"""Grand Concourse""","""Daniel Humm""",0.5767458081245422
"""Grand Concourse""","""Veggie Grill""",0.5764235854148865
"""Grand Concourse""","""Delverde""",0.5761492252349854
"""Grand Concourse""","""Seasons 52""",0.5752820372581482
"""Grand Concourse""","""Karlos Arguiñano""",0.5745790004730225
"""Domino's Pizza""","""Kevin Dundon""",0.5976072549819946
"""Domino's Pizza""","""Sang Yoon""",0.5894137024879456
"""Domino's Pizza""","""Chef Pete Evans""",0.5849475264549255
"""Domino's Pizza""","""Katie Pix""",0.5829641222953796
"""Domino's Pizza""","""Burger King Nederland""",0.5782012343406677
"""Domino's Pizza""","""McDonald's""",0.5775266885757446
"""Domino's Pizza""","""Christian Le Squer""",0.5761951208114624
"""Domino's Pizza""","""McDonald's""",0.5757386088371277
"""Domino's Pizza""","""Norbert Tarayre""",0.5715913772583008
"""Domino's Pizza""","""Marc Veyrat""",0.5687323212623596
"""Chef Lorena Garcia""","""Monti Carlo""",0.5836107730865479
"""Chef Lorena Garcia""","""Ranveer Brar""",0.5790286660194397
"""Chef Lorena Garcia""","""KFC""",0.5786662101745605
"""Chef Lorena Garcia""","""Chef Shirley Chung""",0.5786232948303223
"""Chef Lorena Garcia""","""El Torito""",0.5758060812950134
"""Chef Lorena Garcia""","""Morton's The Steakhouse""",0.5749330520629883
"""Chef Lorena Garcia""","""Eduardo Palazuelos""",0.5746587514877319
"""Chef Lorena Garcia""","""McDonald's""",0.5691120624542236
"""Chef Lorena Garcia""","""Wings""",0.5674381852149963
"""Chef Lorena Garcia""","""McDonald's""",0.5669954419136047
"""James Martin""","""Dunkin' Donuts""",0.6011041402816772
"""James Martin""","""NishaMadhulika""",0.596733570098877
"""James Martin""","""Domino's Pizza""",0.5789819955825806
"""James Martin""","""McDonald's""",0.5768225789070129
"""James Martin""","""Thierry Rautureau""",0.5753228068351746
"""James Martin""","""Emmi CAFFÈ LATTE""",0.5745104551315308
"""James Martin""","""José Santaella""",0.5722881555557251
"""James Martin""","""Famous Dave's Bar-B-Que of America""",0.5716675519943237
"""James Martin""","""Fabio Viviani""",0.5684517621994019
"""James Martin""","""Dunkin' Donuts""",0.5679113864898682
"""Domino's Pizza""","""Chuck Hughes""",0.6040724515914917
"""Domino's Pizza""","""Domino's Pizza""",0.5943145155906677
"""Domino's Pizza""","""Dunkin' Donuts""",0.5940864086151123
"""Domino's Pizza""","""foodpanda""",0.5926269292831421
"""Domino's Pizza""","""Josh Elkin""",0.5861854553222656
"""Domino's Pizza""","""Juan Mari Arzak (Página oficial)""",0.5746533274650574
"""Domino's Pizza""","""Eric Ripert""",0.5743163824081421
"""Domino's Pizza""","""Eckart Witzigmann""",0.57396000623703
"""Domino's Pizza""","""Gary Mehigan""",0.5711017847061157
"""Domino's Pizza""","""Dairy Queen""",0.5700091123580933
"""Nando's""","""Robin Miller""",0.5984607338905334
"""Nando's""","""Chef G. Garvin""",0.5812671184539795
"""Nando's""","""Raymond Blanc""",0.5747657418251038
"""Nando's""","""Dunkin' Donuts""",0.5724604725837708
"""Nando's""","""Emmi CAFFÈ LATTE""",0.5721299648284912
"""Nando's""","""Virginia Willis""",0.5686747431755066
"""Nando's""","""Domino's Pizza""",0.5685880184173584
"""Nando's""","""foodpanda""",0.5676068067550659
"""Nando's""","""KFC""",0.5654057860374451
"""Nando's""","""Harold Dieterle""",0.5595770478248596
"""Roy Yamaguchi""","""Domino's Mx""",0.5943808555603027
"""Roy Yamaguchi""","""Bryce Shuman""",0.587073028087616
"""Roy Yamaguchi""","""Magnum""",0.5808979868888855
"""Roy Yamaguchi""","""McDonald's""",0.57984858751297
"""Roy Yamaguchi""","""McDonald's""",0.5769431591033936
"""Roy Yamaguchi""","""KFC""",0.5766496062278748
"""Roy Yamaguchi""","""Dan Kluger""",0.5760201215744019
"""Roy Yamaguchi""","""McDonald's""",0.5751053690910339
"""Roy Yamaguchi""","""Veggie Grill""",0.5736412405967712
"""Roy Yamaguchi""","""Maria Loi""",0.5716442465782166
"""Susan Feniger""","""Dan Steph & Emmy""",0.6060673594474792
"""Susan Feniger""","""Seamus Mullen""",0.5917083024978638
"""Susan Feniger""","""Emmi CAFFÈ LATTE""",0.5885156393051147
"""Susan Feniger""","""Jacques Pépin""",0.5759713649749756
"""Susan Feniger""","""Cadillac Bar Houston""",0.5759578347206116
"""Susan Feniger""","""Narda Lepes""",0.5732120275497437
"""Susan Feniger""","""Chef Claudia's Cocina""",0.5693462491035461
"""Susan Feniger""","""Fabio Viviani""",0.5683311223983765
"""Susan Feniger""","""Hardee's""",0.5676653385162354
"""Susan Feniger""","""Domino's Pizza Türkiye""",0.5673441886901855
"""McDonald's""","""Chef Rubio""",0.5977355241775513
"""McDonald's""","""Anis Nabilah""",0.5966446399688721
"""McDonald's""","""Domino's Pizza""",0.5925476551055908
"""McDonald's""","""Dunkin' Donuts""",0.5913434028625488
"""McDonald's""","""KFC""",0.5892189145088196
"""McDonald's""","""Narda Lepes""",0.5843871235847473
"""McDonald's""","""Cuoco Filippo La Mantia""",0.5814100503921509
"""McDonald's""","""McDonald's""",0.5767371654510498
"""McDonald's""","""Gandy Dancer""",0.5693101286888123
"""McDonald's""","""Texas Roadhouse""",0.5683677196502686
"""Al Brown New Zealand Chef""","""Johnny Iuzzini""",0.5870127081871033
"""Al Brown New Zealand Chef""","""Chef Nina Compton""",0.5844572186470032
"""Al Brown New Zealand Chef""","""Eric Ripert""",0.5825638771057129
"""Al Brown New Zealand Chef""","""Hugh Acheson""",0.5757697820663452
"""Al Brown New Zealand Chef""","""McDonald's""",0.5757167339324951
"""Al Brown New Zealand Chef""","""Bobby's Burger Palace""",0.5747214555740356
"""Al Brown New Zealand Chef""","""Ignacio Mattos""",0.570887565612793
"""Al Brown New Zealand Chef""","""Eduardo Palazuelos""",0.5694764852523804
"""Al Brown New Zealand Chef""","""Cadillac Bar Kemah""",0.5647807717323303
"""Al Brown New Zealand Chef""","""Chef Sheldon Simeon""",0.5622913837432861
"""Veggie Grill""","""Chef Brian Duffy""",0.5927740931510925
"""Veggie Grill""","""Alex Guarnaschelli""",0.5825375318527222
"""Veggie Grill""","""Dunkin' Donuts""",0.5820305347442627
"""Veggie Grill""","""Angelo Sosa""",0.5775658488273621
"""Veggie Grill""","""Grand Concourse""",0.5764235854148865
"""Veggie Grill""","""Roy Yamaguchi""",0.5736412405967712
"""Veggie Grill""","""Chef Mary Sue Milliken""",0.5731115341186523
"""Veggie Grill""","""Chef Richard Sandoval""",0.5630694627761841
"""Veggie Grill""","""Magnum""",0.5628968477249146
"""Veggie Grill""","""Chef Sheldon Simeon""",0.5614973902702332
"""Domino's Pizza""","""Burger Lounge""",0.5978367924690247
"""Domino's Pizza""","""foodpanda""",0.5909266471862793
"""Domino's Pizza""","""NishaMadhulika""",0.5800172090530396
"""Domino's Pizza""","""Dean Sheremet""",0.5784342288970947
"""Domino's Pizza""","""Chef Rick Tramonto""",0.5739381313323975
"""Domino's Pizza""","""Chef Hirohiko Shoda""",0.5735407471656799
"""Domino's Pizza""","""Vicky Ratnani""",0.5727729201316833
"""Domino's Pizza""","""KFC""",0.5714378356933594
